Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final
TRH1V.HE;Trainers´ House Oyj;Finland;Industrials;Consulting Services;0.6919999719;0.3470725715;0.3451965153;0.8712459803;43431.6147540984;0.5637840399;9217248;11628217;0.073;3097000;9415000;6318000;3666000;575000;-52000;523000;502000;2849500;6378335.35668755;5.3860869565;0.0533191715;0.0449768008;9.48;1.9938192432;HOLD;286.5;97.449;288.000;97.959;294.000;100.000
ALLEX.PA;LEXIBOOK LINGUIST.;France;Consumer Cyclical;Leisure;3.6099998951;1.4550000429;1.4099999666;3.9349999428;92922.8333333333;2.729285718;4731588;35431624;0.203;11647964;16812173;5164209;3457619;3366950;-8666;3358284;206543;5193162;17081032.1836367;3.4595001411;0.0122853244;0.0947821076;17.78;2.4810995111;HOLD;268;91.156;293.000;99.660;293.000;99.660
ALITL.PA;IT LINK;France;Technology;Information Technology Services;23;13.7257852554;12.3383407593;24;3024.6746031746;15.8314099993;767328;39726012;1.06;26599000;43470000;16860000;11560000;3680000;-118500;3561500;709500;12568500;17648544;7.2279891304;0.0163216011;0.0896515865;21.70;1.6756782634;HOLD;271;92.177;278.000;94.558;292.000;99.320
LNS1L.VS;Linas;Lithuania;Consumer Cyclical;Textile Manufacturing;0.1679999977;0.1099999994;0.1080000028;0.1879999936;16160.2796610169;0.1352542376;5036890;2087832;0.034;3298816;12416731;9117915;3465295;490167;-8802;481365;270064;3878050;846197.508591563;6.7299838626;0.0217500081;0.2305573437;4.94;1.527272715;HOLD;282;95.918;266.000;90.476;291.000;98.980
HOLCO.AS;HOLLAND COLOURS;Netherlands;Basic Materials;Specialty Chemicals;174.5;111.4466323853;108.5393295288;177.3455047607;355.7222222222;133.5326295277;310776;135003072;11.008;18126000;68725000;50258000;16638000;3221000;-374000;2847000;2498500;23749500;54230412;5.6274448929;0.0363550382;0.021088409;15.85;1.5657718521;HOLD;274;93.197;270.000;91.837;289.500;98.469
ALMGI.PA;MG INTERNATIONAL;France;Industrials;Security & Protection Services;9.8000001907;5.25;4.9000000954;12;2830.9047619048;8.3034920617;1391664;49990536;0.925;16351107;34476476;18125369;10358635;5160000;-216500;4943500;341484;9302072;13638307.4654388;3.168819186;0.0099048406;0.0988887177;10.59;1.866666703;HOLD;259;88.095;285.000;96.939;289.500;98.469
SFPI.PA;GROUPE SFPI;France;Industrials;Specialty Industrial Machinery;2.9849998951;1.7197548151;1.60957551;3.0250000954;78933.0555555556;2.1094330095;45755746;256422560;0.183;311260000;527148000;214240000;162591000;20878500;-4632000;16246500;11140500;135955500;136580897.010031;14.908159111;0.0211335337;0.0633583098;16.31;1.73571248;HOLD;256;87.075;280.000;95.238;288.000;97.959
SMA1R.RG;PATA Saldus;Latvia;Basic Materials;Lumber & Wood Production;36.7999992371;24;22.3999996185;36.7999992371;31.4956521739;26.6226085165;40393;44411204;7.385;21811025;41257283;19446258;69590;1668816;-315118;1353698;2024234;19239601;1486462.36918259;13.0697602372;0.0490636768;0.030481002;4.98;1.5333333015;HOLD;266;90.476;267.000;90.816;287.000;97.619
TEM1V.HE;Tecnotree Oyj;Finland;Technology;Software—Application;1.1339999437;0.6460000277;0.5199999809;1.2000000477;1173290.68032787;0.7658934437;128982379;325095104;0.058;0;0;19722000;0;0;0;0;2400000;11200000;146266010.528576;NA;Inf;0;19.55;1.7554177944;HOLD;250.5;85.204;281.000;95.578;286.000;97.279
INL1L.VS;INVL Baltic Farmland;Lithuania;Real Estate;Real Estate Services;8.4499998093;5.2724409103;5.0771651268;9;90.0084745763;6.563712803;294722;28255998;0.285;0;0;14015000;0;0;0;0;106000;160000;2490400.84378624;NA;Inf;0;29.65;1.6026732121;HOLD;255;86.735;274.000;93.197;285.000;96.939
IFA1V.HE;Innofactor Plc;Finland;Technology;Software—Application;1.8400000334;1.325781703;1.3062130213;2;113053.262295082;1.7444568374;18227134;76787272;0.105;33390000;59622000;26232000;6184000;3624000;-105000;3519000;2637000;17807000;33537927.1683962;9.2135761589;0.0442286404;0.0458279075;17.52;1.387860482;BUY;280;95.238;245.000;83.333;284.000;96.599
TPD1T.TL;Trigon Property Development;Estonia;Real Estate;Real Estate—Diversified;1.1900000572;0.6934322119;0.665694952;1.2400000095;953.75;0.9446937164;623525;4638303;0.093;2648;2558670;2556022;940532;57642;0;57642;64668;0;741994.785678387;0.0459387252;0.0252740682;0.0124273899;12.80;1.7161014975;HOLD;245.5;83.503;279.000;94.898;283.000;96.259
SKN1T.TL;Nordic Fibreboard;Estonia;Consumer Cyclical;Furnishings, Fixtures & Appliances;1.7999999523;0.5500000119;0.5450000167;2.0599999428;6278.8166666667;1.0621666655;675984;11151310;0.48;4640000;7839000;3199000;131000;196000;-27000;169000;550000;2846000;1216771.16776657;23.6734693878;0.0701620105;0.0151551701;3.7499999007;3.2727271151;HOLD;227.5;77.380952381;294;100;282;95.9183673469
ASP.PA;A.S.T. GROUPE;France;Consumer Cyclical;Residential Construction;6.4800000191;4.0692853928;4.0114283562;7.7142858505;9141.8333333333;5.9101304592;4101286;73973416;0.42;109144000;149815000;40667000;57229000;7894000;-166500;7727500;2129500;47561000;26576333.3582258;13.8261971117;0.0142141975;0.1044632034;15.43;1.5924171921;HOLD;241;81.973;273.000;92.857;281.000;95.578
LGD1L.VS;LITGRID;Lithuania;Utilities;Utilities—Regulated Electric;0.8100000024;0.6102241278;0.6102241278;0.8249999881;3813.2966101695;0.706678736;12608284;484508768;0.057;198619000;428129000;229510000;5074000;44244000;-10817000;33427000;11473000;61177000;10212710.0700605;4.4891736733;0.0267979978;0.0689915275;14.2105263576;1.3273811466;HOLD;285;96.9387755102;228;77.5510204082;280;95.2380952381
DEX.DE;DELTICOM AG  NA O.N.;Germany;Consumer Cyclical;Internet Retail;9.3599996567;6.8385782242;6.8385782242;10.3500003815;24411.9365079365;8.3223716077;5677297;205618240;0.54;184966000;199767000;13807000;5635000;14478000;-198500;14279500;6334000;151614500;53139497.9708548;12.7756596215;0.0317069386;0.06944666;17.3333326976;1.3687055042;HOLD;276.5;94.0476190476;236;80.2721088435;279;94.8979591837
